"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "Shell Script", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run.go", "Go", 0, 0, 0, 0, 213, 0, 15, 25, 253
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run_test.go", "Go", 0, 0, 0, 0, 172, 0, 15, 26, 213
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/support.go", "Go", 0, 0, 0, 0, 84, 0, 15, 10, 109
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/upload.go", "Go", 0, 0, 0, 0, 103, 0, 15, 13, 131
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/http_api.go", "Go", 0, 0, 0, 0, 271, 0, 15, 30, 316
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/payloads.go", "Go", 0, 0, 0, 0, 54, 0, 15, 14, 83
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/probe_api.go", "Go", 0, 0, 0, 0, 92, 0, 15, 11, 118
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/request_helpers.go", "Go", 0, 0, 0, 0, 141, 0, 15, 14, 170
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run.go", "Go", 0, 0, 0, 0, 125, 0, 15, 20, 160
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run_test.go", "Go", 0, 0, 0, 0, 537, 0, 15, 73, 625
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/common.go", "Go", 0, 0, 0, 0, 120, 0, 15, 19, 154
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/common_test.go", "Go", 0, 0, 0, 0, 105, 0, 15, 15, 135
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/upload.go", "Go", 0, 0, 0, 0, 128, 0, 15, 19, 162
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/ingestadmission/upload_test.go", "Go", 0, 0, 0, 0, 163, 0, 15, 30, 208
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/conditions.go", "Go", 0, 0, 0, 0, 251, 0, 15, 23, 289
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/operation.go", "Go", 0, 0, 0, 0, 55, 0, 15, 13, 83
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/operation_test.go", "Go", 0, 0, 0, 0, 95, 0, 15, 11, 121
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/policy_validation.go", "Go", 0, 0, 0, 0, 264, 0, 15, 28, 307
